Channel_1_fft,Channel_2_fft,Channel_3_fft,Channel_4_fft,Channel_5_fft,Channel_6_fft,Channel_7_fft,Channel_8_fft,Channel_9_fft,Channel_10_fft,Channel_11_fft,Channel_12_fft,Channel_13_fft,Channel_14_fft,Channel_15_fft,Channel_16_fft,Channel_17_fft,Channel_18_fft,Channel_19_fft,Channel_20_fft,Channel_21_fft,Channel_22_fft,Channel_23_fft,Channel_24_fft,Channel_25_fft,Channel_26_fft,Channel_27_fft,Channel_28_fft,Channel_29_fft,Channel_30_fft,Channel_31_fft,Channel_32_fft,Label
51.83594,62.42339,61.731632,31.177324,22.624788,13.75711,26.627363,15.137168,53.001125,7.739332,15.379404,16.29764,8.837557,28.262333,9.676613,20.801796,16.981668,13.749473,8.523539,8.2514,15.685776,27.199305,9.962408,12.799844,10.88694,14.1260805,24.568937,21.96087,20.602943,19.532564,22.452015,16.890123,1
36.71854,42.26211,48.232334,29.821339,16.417864,15.193088,19.731,13.969154,47.745007,9.072096,12.467222,14.649533,10.170042,24.079,8.950386,19.005278,14.662535,14.435409,7.526413,8.879115,6.9133835,25.178913,8.652029,11.44908,10.705565,14.206896,26.310177,20.411018,19.166075,18.29993,21.734524,16.424484,1
27.617054,32.49926,19.88917,23.689009,15.355439,11.975719,10.364206,13.165947,48.305275,15.0649,8.210848,13.827669,9.437103,17.525406,6.8033786,19.453468,11.320615,12.099881,8.3705,7.6763415,12.1053295,22.958002,9.13616,11.37726,20.941095,13.98617,23.219503,22.276077,19.012262,19.098883,24.002243,13.808191,2
13.717649,14.990365,13.435912,15.862602,7.3287354,11.398253,10.888362,9.839504,40.95832,7.650126,7.337904,13.013314,9.397123,16.907667,7.949011,19.64903,13.839418,14.258052,8.65657,7.4830937,12.55157,25.140759,7.514245,10.563011,8.840818,13.276917,20.723305,18.545101,15.2786045,16.748089,21.465067,11.627422,1
14.541631,15.738543,13.579492,16.152853,8.008534,10.370768,8.694039,9.536463,36.785576,6.902998,6.69863,11.661207,9.458479,15.900205,7.5451655,16.329273,11.33234,11.012969,7.9204288,7.1376357,12.129107,20.900942,7.2966876,10.446088,8.261519,12.263853,16.887703,17.763765,14.123978,15.770169,20.897163,10.696493,1
33.175304,35.72732,44.568233,27.7085,12.452243,15.644502,9.280371,14.385237,26.29807,9.334862,8.413067,14.963243,10.77753,16.949879,6.788104,17.386652,11.050416,13.199728,8.771951,7.0222206,10.197804,22.618011,9.686651,11.209185,12.320352,12.4970665,22.186628,21.719574,19.319832,18.236324,21.726377,13.995184,2
39.0301,40.510715,49.78511,33.45757,15.519898,16.977085,15.092141,14.894502,38.024326,9.749582,10.199289,14.788684,10.709509,21.381844,7.973999,20.7201,13.151601,15.029211,9.01701,7.578804,11.97824,26.753414,9.353048,11.121314,11.260705,13.690603,23.963379,20.600477,19.080101,17.610758,21.105297,14.207431,2
34.2604,35.370106,20.39367,25.70293,12.319728,12.913461,11.881615,12.001189,34.79756,8.027177,8.020445,11.526709,8.173078,18.339703,5.900164,15.006935,9.190399,9.451482,6.587845,7.0028076,9.582234,18.975315,6.7690144,9.336363,10.17634,10.858006,15.982843,17.123062,13.074691,15.219531,19.886398,10.091434,2
10.766619,11.131777,12.775799,17.233063,8.690606,8.806633,9.142934,8.98811,18.938429,14.656863,8.901957,11.773786,8.361649,18.937876,7.1506467,18.125652,11.0283575,9.867974,7.2489004,7.234279,13.221762,23.22459,7.4826846,11.326471,17.78695,13.027293,16.52337,20.005465,14.825879,17.839325,23.867044,20.678555,1
42.8202,37.730625,24.15364,40.33587,10.769194,29.192717,11.97509,16.526129,50.377415,30.609236,9.3404665,15.948824,14.836007,19.50186,9.305744,22.19025,11.262714,17.32272,9.284769,8.435685,12.849532,27.689106,10.399304,11.719844,22.869043,14.825628,22.728277,24.083082,20.768038,21.012934,26.788052,14.396857,1
34.913605,36.718616,21.362137,26.416502,12.155734,13.986509,10.620877,13.424555,38.78073,7.9465456,7.6165214,13.906377,9.552582,16.714828,6.9127593,18.5952,13.4191,14.687433,7.108291,7.3421993,10.67533,24.79907,7.8125634,9.214184,15.399444,11.865007,22.010609,17.834276,15.161835,16.542187,20.090235,12.451625,1
17.34649,19.971378,15.405838,16.94575,10.261682,9.655502,9.582131,10.160861,41.348835,6.7881804,7.175931,12.127463,8.766779,17.721043,7.2797766,17.173147,11.001621,10.379695,7.679003,7.8235617,11.13186,22.587389,7.8009825,9.5056095,8.747666,10.691138,18.534761,16.981075,14.48785,15.300287,19.289688,10.902319,2
17.651379,19.795715,14.256047,16.365143,8.78939,9.3950205,8.872066,9.609353,37.00847,5.9962077,6.6633368,11.649073,7.4743085,15.749272,6.5764318,15.406302,10.592912,9.867536,7.0158935,7.2318344,11.027166,21.530624,7.232611,10.04032,8.323601,11.856997,17.286842,17.55422,14.608547,15.83334,20.762587,10.641941,2
14.702677,16.449257,23.860113,17.057714,8.887328,9.420192,9.844768,10.36091,37.632877,6.9643393,8.803842,12.967522,9.849406,17.987577,9.667958,24.084097,12.782678,13.512481,8.223623,8.115778,7.210532,28.602457,9.487322,11.126963,11.330446,12.092722,22.780418,17.437202,17.115067,17.012926,19.057976,13.725305,1
19.741404,21.990906,15.890534,20.689304,10.75784,10.410052,10.377586,10.550031,44.67267,14.970517,9.247842,11.985294,8.269863,19.365881,6.615397,17.617292,10.931494,10.145234,7.2073164,7.232477,10.649632,20.73275,7.825882,10.423969,15.642068,12.783768,16.186064,20.887772,15.059335,17.393932,23.63528,12.16,1
13.130341,15.818937,12.814144,17.407055,10.3415785,9.03101,9.00186,9.050658,37.81493,14.364432,8.660074,11.262004,8.308949,18.22773,7.3791785,19.230831,11.629715,10.838588,7.576699,7.124466,12.91283,22.243504,7.318759,11.12141,15.662688,12.352375,16.821445,19.359007,13.800437,17.136675,22.343277,9.73045,1
67.77319,70.34617,68.45214,46.08192,18.594189,26.221903,13.932856,16.874918,67.09197,12.902422,10.974015,15.888383,13.58992,21.580812,7.1928425,23.404245,13.6095,20.942629,10.244983,8.212917,5.7309093,31.073906,9.7258005,11.223609,12.42452,13.447186,29.647861,21.92684,19.498356,18.918728,21.78267,16.54495,2
15.912303,20.187824,14.643119,17.121174,10.62575,9.512401,10.301153,10.024131,40.600327,13.426293,8.9189825,11.81868,8.376797,18.830898,7.001296,19.694849,9.837447,9.9007015,7.5182557,8.4779215,11.585135,25.102583,7.055474,9.811693,16.926132,12.613604,18.676367,18.152124,13.486136,15.985428,21.446558,10.246492,2
26.235289,29.517149,35.51249,23.028269,12.034668,14.063285,15.398212,11.151852,44.58643,8.644323,11.385276,12.471442,9.72018,20.93019,7.5637813,18.410288,11.819986,14.504453,8.025616,7.6040072,6.206706,22.67848,8.0053425,11.020696,9.719645,11.99199,21.244291,18.53468,17.44151,16.78598,19.788197,14.009426,2
9.0491085,10.289586,11.91665,14.255381,8.282431,7.831305,8.391641,9.161632,33.757664,12.190955,8.144486,11.249186,8.237489,16.220785,6.815236,18.252468,9.838787,8.667255,7.1769347,7.121123,12.47627,19.983244,7.560563,10.605987,13.502175,12.343463,14.56947,18.57425,12.288131,16.525423,22.430958,18.497742,1
